Point,Latitude,Longitude,Contexte,Période,Saison,NORNSV23,NORNSV24,NORNSV25,NORIFM20,NORIFM40,NORIFM60,NORIS400,NORIS700,NORIS1000
4752,43.8763,-1.0945,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4752,43.8763,-1.0945,RCP4.5,H1,3,17,3,0,16,1,0,21,1,0
4752,43.8763,-1.0945,RCP4.5,H1,4,10,1,-999,4,0,0,21,2,-999
4753,43.8794,-0.9952,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4753,43.8794,-0.9952,RCP4.5,H1,3,16,3,0,17,1,0,21,1,0
4753,43.8794,-0.9952,RCP4.5,H1,4,10,1,-999,4,0,0,21,2,-999
4754,43.8824,-0.8959,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4754,43.8824,-0.8959,RCP4.5,H1,3,16,3,0,17,1,0,22,1,0
4754,43.8824,-0.8959,RCP4.5,H1,4,10,1,-999,4,0,0,25,2,-999
4755,43.8853,-0.7965,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4755,43.8853,-0.7965,RCP4.5,H1,4,11,1,-999,4,0,0,26,1,-999
4756,43.8882,-0.6972,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4756,43.8882,-0.6972,RCP4.5,H1,3,17,3,1,17,1,0,27,2,0
4756,43.8882,-0.6972,RCP4.5,H1,4,10,2,-999,4,0,0,34,2,-999
4757,43.8909,-0.5978,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4757,43.8909,-0.5978,RCP4.5,H1,3,20,4,1,20,2,0,25,1,0
4757,43.8909,-0.5978,RCP4.5,H1,4,12,2,-999,4,0,0,32,2,-999
4758,43.8935,-0.4984,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4758,43.8935,-0.4984,RCP4.5,H1,3,19,4,0,19,2,0,25,1,0
4758,43.8935,-0.4984,RCP4.5,H1,4,12,2,-999,4,0,0,32,2,-999
4759,43.8961,-0.399,RCP4.5,H1,2,0,0,-999,3,0,0,0,0,-999
4759,43.8961,-0.399,RCP4.5,H1,3,18,4,0,19,2,0,23,1,0
4759,43.8961,-0.399,RCP4.5,H1,4,12,2,-999,4,0,0,28,1,-999
4760,43.8985,-0.2996,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
4760,43.8985,-0.2996,RCP4.5,H1,3,18,3,0,19,2,0,30,1,0
4760,43.8985,-0.2996,RCP4.5,H1,4,11,1,-999,3,0,0,42,1,-999
4893,43.9417,-1.2978,RCP4.5,H1,2,0,0,-999,2,0,0,0,0,-999
